Level;Name;ShortCode;Description;Uri;BroaderConcept
3;protecting and enforcing;S3.3.0;"Responding to public and personal safety and security needs and ensuring compliance to rules, standards, guidelines or laws.
nan";http://data.europa.eu/esco/skill/fe317a4c-e4e0-45ee-8b0d-204a68014f9e;protecting and enforcing
2;assisting and caring;S3.0;"Providing assistance, nurturing, care, service and support to people, and ensuring compliance to rules, standards, guidelines or laws.
nan";http://data.europa.eu/esco/skill/2486154b-e3fd-4938-8316-029f62afdcb9;assisting and caring
3;assisting and caring;S3.0.0;"Providing assistance, nurturing, care, service and support to people, and ensuring compliance to rules, standards, guidelines or laws.
nan";http://data.europa.eu/esco/skill/b84813aa-6c44-4d58-a240-556c2060fb4e;assisting and caring
2;counselling;S3.1;"Responding to clients' needs by interpreting their emotional and motivational states, and determining and providing appropriate support or interventions.
nan";http://data.europa.eu/esco/skill/6107b01a-3dac-4a03-ac9c-1044e4af0307;assisting and caring
3;counselling;S3.1.0;"Responding to clients' needs by interpreting their emotional and motivational states, and determining and providing appropriate support or interventions.
nan";http://data.europa.eu/esco/skill/0ac31705-79ff-4409-a818-c9d0a6388e84;counselling
3;assisting people to access services;S3.1.3;"Assist others to gain access to social, legal or other services and benefits, including making referrals to other professionals and organisations.
Examples:
- refer service users to community resources";http://data.europa.eu/esco/skill/29fbde52-e525-4653-96d0-acd59ccb28d8;counselling
3;counselling on personal, family or social issues;S3.1.1;"Responding to clients' needs by interpreting their emotional and motivational states, and assisting them to understand their situation.
Examples:
- give advice on personal matters
- help clients cope with grief";http://data.europa.eu/esco/skill/d6a8a2a4-4e21-4ea6-b267-b5c63e687cfd;counselling
3;providing support to resolve problems;S3.1.2;"Providing appropriate support or interventions to others to assist them to resolve their personal, family or social problems.
Examples:
- assist families in crisis situations
- provide victim assistance";http://data.europa.eu/esco/skill/f9db77be-eb63-4937-a0d0-b581733e7d2a;counselling
2;providing health care or medical treatments;S3.2;"Treating injuries and health conditions through the provision of health care and medical treatments to people.
Excludes:
- Veterinary care
- Diagnosing health conditions";http://data.europa.eu/esco/skill/7a163630-7536-4748-a259-aa820d3be44b;assisting and caring
3;providing health care or medical treatments;S3.2.0;"Treating injuries and health conditions through the provision of health care and medical treatments to people.
Excludes:
- Veterinary care
- Diagnosing health conditions";http://data.europa.eu/esco/skill/0a400212-8693-4b1f-b0ca-d1f82c321916;providing health care or medical treatments
3;providing physical therapies;S3.2.3;"Treating injuries and health conditions through physiotherapy, massage, chiropractic and other physical therapies.
Examples:
- apply clinical physiotherapy skills
- administer hydrotherapy
- give shiatsu massages

Excludes:
- veterinary care
- non-therapeutic massage";http://data.europa.eu/esco/skill/3926ec7d-64cd-4410-8283-493a1afdd57b;providing health care or medical treatments
3;providing psychological and occupational therapies;S3.2.4;"Treating human health conditions through provision psychological and occupational, music or related therapies.
Examples:
- apply psychoanalysis
- use psychotherapeutic interventions
- remediate healthcare user's occupational performance
- apply music therapy treatment methods";http://data.europa.eu/esco/skill/4bbdc5eb-b710-4b76-816d-04926f7ac4a1;providing health care or medical treatments
3;fitting assistive devices;S3.2.6;"Fitting assistive devices such as prostheses or orthotics to patients or clients.
Examples:
- tailor orthopaedic footwear

Excludes:
- veterinary care";http://data.europa.eu/esco/skill/50e42de7-4a5c-4f94-b160-765f547d840c;providing health care or medical treatments
3;providing medical, dental and nursing care;S3.2.1;"Treating injuries and health conditions among humans, through administering medication and providing other medical treatments and nursing care.
Examples:
- provide professional care in nursing
- administer prescribed medication
- carry out wound care
- manage acute pain
- rehabilitate worn dentition

Excludes:
- veterinary care
- performing surgery
- physiotherapy
- occupational therapy
- psychotherapy
";http://data.europa.eu/esco/skill/73e602a0-f80f-4f56-8e21-3db4fd08709d;providing health care or medical treatments
3;prescribing and ordering medical tests, treatments or devices;S3.2.5;"Ordering medical tests such as blood tests or medical imaging, planning courses of treatment and prescribing medication, or medical and prosthetic devices.
Examples:
- prescribe medication
- prescribe psychotherapeutic treatment

Excludes:
- veterinary care";http://data.europa.eu/esco/skill/b88bddd4-210e-405f-bbdf-729bb66605a0;providing health care or medical treatments
3;performing surgical procedures;S3.2.2;"Treating injuries and health conditions through provision of various types of surgical intervention.
Examples:
- dental surgery
- administer anaesthetics
- perform paediatric surgery

Excludes:
- veterinary surgery
";http://data.europa.eu/esco/skill/e001ce62-78e7-4821-a7df-a08457c295ab;providing health care or medical treatments
2;preparing and serving food and drinks;S3.5;"Providing food and beverage services.
nan";http://data.europa.eu/esco/skill/b85711bc-32d6-42af-ae0f-e2e566d0dfca;assisting and caring
3;serving food and drinks;S3.5.2;"Serving food and beverages to clients in restaurants, canteens, cafes, bars, transportation equipment or other locations.
Examples:
- serve food in table service
- prepare service trolleys
- serve wines";http://data.europa.eu/esco/skill/1bb32451-7ca4-4fa2-a2c0-2083c426d76c;preparing and serving food and drinks
3;preparing food and drinks;S3.5.1;"Preparing and cooking meals and beverages.
Examples:
- prepare meat dishes
- prepare dairy products for use in a dish
- prepare garnish for drinks

Excludes:
- manufacturing food products";http://data.europa.eu/esco/skill/89f8435a-ebc1-42b6-bf5c-496999e99776;preparing and serving food and drinks
3;preparing and serving food and drinks;S3.5.0;"Providing food and beverage services.
nan";http://data.europa.eu/esco/skill/b593afe4-4179-4a83-9f05-21c8d32d8113;preparing and serving food and drinks
2;providing information and support to the public and clients;S3.4;"Assisting the public by answering questions, making recommendations, and providing information or support in response to requests.
Excludes:
- Provide high quality client service
- Satisfy customers";http://data.europa.eu/esco/skill/e1746275-6d4e-4b02-b526-eeebf3052b6d;assisting and caring
3;accompanying and welcoming people;S3.4.2;"Welcoming, accompanying or supporting clients, patrons, visitors and others by helping them to feel at ease, and assisting them with activities such as finding seats, making reservations and using facilities at social events, outings, or trips.
Examples:
- escort students on a field trip
- supervise special visitors

Excludes:
- assist clients with special needs
";http://data.europa.eu/esco/skill/00d5d1d2-c521-4c58-9df5-2939c0ce9adb;providing information and support to the public and clients
3;providing general assistance to people;S3.4.4;"Providing practical assistance and service to clients and the public in using services and facilities, such as assisting with paperwork or supporting their special needs.
Examples:
- guarantee customer satisfaction
- assist pool users

Excludes:
- escort passengers
- provide social guidance over the phone
";http://data.europa.eu/esco/skill/119a2f5c-3c3e-4b0d-9813-06a553c8860c;providing information and support to the public and clients
3;providing information and support to the public and clients;S3.4.0;"Assisting the public by answering questions, making recommendations, and providing information or support in response to requests.
Excludes:
- Provide high quality client service
- Satisfy customers";http://data.europa.eu/esco/skill/7de7e3f6-d222-4f08-b3f0-e2deff7ef798;providing information and support to the public and clients
3;assisting people with paperwork;S3.4.3;"Assisting others with completing forms, provision of documentation required for access to services, issuance of official documents or enrolment in programmes.
Examples:
- Assist in loan applications";http://data.europa.eu/esco/skill/998d0ed8-21ee-4f1d-8906-f141136db5d9;providing information and support to the public and clients
3;providing information to the public and clients;S3.4.1;"Answering questions, making recommendations, and providing information or support in response to requests from clients, customers, guests or members of the public.
Examples:
- inform customers of activity changes
- respond to enquiries

Excludes:
- presentation of information to groups";http://data.europa.eu/esco/skill/d54970ba-d9f2-41ec-a852-bbd1e5796823;providing information and support to the public and clients
2;providing general personal care;S3.6;"Responding to the daily and occasional personal care needs of people.
Excludes:
- Administration of medical treatments and therapies, therapeutic massage";http://data.europa.eu/esco/skill/e7a48651-3f68-4762-bf93-57cc1af47016;assisting and caring
3;styling hair and providing beauty treatments;S3.6.4;"Grooming, styling or removing hair, applying make-up and providing beauty treatments, to meet the appearance desired by clients or required for the purposes such as theatrical performance.
Examples:
- apply nail polish
- use hair removal techniques";http://data.europa.eu/esco/skill/5f92ff3e-288b-44aa-864d-5ebb1adb7925;providing general personal care
3;assisting with personal needs;S3.6.2;"Assisting others with personal needs and care such as bathing, dressing, feeding, relaxation and comfort.
Excludes:
- Administration of medical treatments and therapies
- Therapeutic massage
- Caring for children

Examples:
- Provide basic support to patients
- Give non-therapeutic massages
- Provide domestic care";http://data.europa.eu/esco/skill/77ee8fad-188f-44cf-88ba-4e495a52d604;providing general personal care
3;assisting people with mobility;S3.6.1;"Moving or assisting movement of persons with restricted mobility due to illness, accidents, disability, or medical procedures.
Examples:
- transfer patients

Excludes:
- drive vehicles";http://data.europa.eu/esco/skill/8826b057-0e80-4e3d-9efc-1e179d597f40;providing general personal care
3;caring for children;S3.6.3;"Providing care for and assistance to children.
Examples:
- attend to children's basic physical needs
- play with children

Excludes:
- administration of medical treatments and therapies
- counsel and provide support to children to resolve personal, psychological or social problems
";http://data.europa.eu/esco/skill/969845ce-6895-44a8-a3d2-b8c2d8b5de21;providing general personal care
3;providing personal care;S3.6.0;"Responding to the daily and occasional personal care needs of people.
Excludes:
- Administration of medical treatments and therapies, therapeutic massage";http://data.europa.eu/esco/skill/fbb861f7-2386-4d17-84f7-6e340a8e6cd9;providing general personal care
1;communication, collaboration and creativity;S1;"Communicating, collaborating, liaising, and negotiating with other people, developing solutions to problems, creating plans or specifications for the design of objects and systems, composing text or music, performing to entertain an audience, and imparting knowledge to others.
Excludes:
- communication or interaction with animals
";http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8;
2;designing systems and products;S1.11;"Creating a plan or specification for the construction of an object, system or structure based on aesthetic and/or functional design concepts.
Excludes:
- Styling hair
- Creating artistic, visual or instructive materials";http://data.europa.eu/esco/skill/0a295163-3e17-47ad-99ac-2b507ce30adb;communication, collaboration and creativity
3;developing recipes or menus;S1.11.3;"Combining innovative and creative ideas to come up with new recipes for food and beverage products and to create new menus.
Examples:
- compile cooking recipes
- create new food products
- develop new confectionery products";http://data.europa.eu/esco/skill/32c854c1-6f1f-4f1c-8e4c-368a68a10db3;designing systems and products
3;designing electrical or electronic systems or equipment;S1.11.2;"Creating a plan or specification for the design and development of electrical, electronic or mechatronic systems, hardware, products, and components.
Examples:
- design circuit boards
- design microelectromechanical systems
- define firmware";http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233;designing systems and products
3;designing systems and products;S1.11.0;"Creating a plan or specification for the construction of an object, system or structure based on aesthetic and/or functional design concepts.
Excludes:
- Styling hair
- Creating artistic, visual or instructive materials";http://data.europa.eu/esco/skill/883eab8c-d8a6-4e8b-9b11-7d9001e172ab;designing systems and products
3;designing structures or facilities;S1.11.4;"Creating a plan or specification for the design and development of physical structures such as buildings, urban infrastructure, or open spaces.
Examples:
- design safety equipment
- design pharmaceutical manufacturing systems
- design buildings
- create new landscape designs";http://data.europa.eu/esco/skill/b2c688b0-9106-466d-8b88-eafdfe608e7d;designing systems and products
3;designing ict systems or applications;S1.11.1;"Creating a plan or specification for the design of information systems, computer games, databases and computer networks, systems and applications.
Excludes:
- style hair
- create artistic, visual or instructive materials";http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce;designing systems and products
3;designing industrial materials, systems or products;S1.11.5;"Creating or executing a plan or specification for the design of industrial, materials, products, or production systems, based on aesthetic and/or functional design concepts.
Examples:
- design infrastructure for surface mines
- design woven fabrics
- create new enamels

Excludes:
- design electrical or electronic systems or equipment
";http://data.europa.eu/esco/skill/c34b06c4-d164-4e49-a784-89d47de42ec2;designing systems and products
2;advising and consulting;S1.5;"Providing guidance and advice to enable decision-making about tasks, situations, and processes.
Excludes:
- Psychological, behavioural and social counselling; see S3.1.1";http://data.europa.eu/esco/skill/24ad2ffb-dece-4704-8155-63ea9428d038;communication, collaboration and creativity
3;advising on environmental issues;S1.5.5;"Providing information and advice on environmental protection and sustainability.
Examples:
- advise on environmental remediation
- advise on pollution prevention";http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd;advising and consulting
3;advising on workplace health and safety issues;S1.5.9;"Promoting and providing information and advice on health and safety in the workplace.
Examples:
- advise on safety improvements
- inform on safety standards";http://data.europa.eu/esco/skill/08104c27-d4b2-4d40-ae97-dde65e71712f;advising and consulting
3;advising and consulting;S1.5.0;"Providing guidance and advice to enable decision-making about tasks, situations, and processes.
Excludes:
- Psychological, behavioural and social counselling; see S3.1.1";http://data.europa.eu/esco/skill/103af23e-d56c-47ab-b991-55c94dcdef50;advising and consulting
3;providing financial advice;S1.5.2;"Explaining financial information and providing financial advice.
Examples:
- advise on investment
- explain financial technicalities to clients";http://data.europa.eu/esco/skill/34691a8a-ec8e-4eaa-b6e7-f4dbf144c644;advising and consulting
3;advising on products and services;S1.5.3;"Advising others on products or services explaining technical details.
Examples:
- advise customers on new equipment
- provide advice on travel destinations";http://data.europa.eu/esco/skill/62afcfdd-a2a6-4143-bafb-59c77e15a01c;advising and consulting
3;advising on educational or vocational matters;S1.5.8;"Providing information, advice and guidance on educational and training courses, teaching and learning methods, careers or job search.
Examples:
- advise on career
- advise lesson plans
- advise on training 
- provide assistance with job search

Includes:
- managing own career
";http://data.europa.eu/esco/skill/8c298a9b-e9ea-4396-897d-9aba982df6a0;advising and consulting
3;advising on business or operational matters;S1.5.7;"Providing information and advice to improve the efficiency of production and business operations.
Examples:
- advise on efficiency improvements
- advise on personnel management
- advise on waste management procedures";http://data.europa.eu/esco/skill/b036eb5c-6a48-45b9-b2c6-f42f9e336204;advising and consulting
3;providing medical advice;S1.5.4;"Explaining medical and healthcare information to patients or family members and/or advising them on medical, health or wellness issues.
Examples:
- advise on rehabilitation exercises
- advise on medical device features
- offer advice on diet related concerns
- explain the molecular basis of a disease to patients

Excludes:
- provide advice on animal health
";http://data.europa.eu/esco/skill/c75655c3-ed29-441e-b403-4dd65bc891a5;advising and consulting
3;advising on design or use of technologies;S1.5.6;"Providing information and advice on technological possibilities, developments and on the uses of technology.
Examples:
- advise client on technical possibilities
- provide ICT consulting advice";http://data.europa.eu/esco/skill/eb6cc4ba-4bb8-4348-9a3b-dc419558f66a;advising and consulting
3;advising on legal, regulatory or procedural matters;S1.5.1;"Discussing legal matters with clients, disputants, or legal professionals or staff. Explaining and providing advice to others on legal matters, regulations, policies or procedures.
Examples:
- advise on social service process
- provide legal advice";http://data.europa.eu/esco/skill/efbb3d3b-a41c-4e0a-90a8-8e611eb1db9f;advising and consulting
2;writing and composing;S1.13;"Writing text or composing music, creating original work with regard to format, style and content.
Excludes:
- general writing abilities/literacy
- writing computer programmes/coding";http://data.europa.eu/esco/skill/2f661409-3e56-46ab-95d7-6ec7786fc1c0;communication, collaboration and creativity
3;artistic and creative writing;S1.13.2;"Writing original text of a creative nature for artistic, journalistic, promotional or similar purposes.
Examples:
- write storylines
- create script for artistic production
- write headlines
- perform copywriting

Excludes:
- revise translations
- write computer programmes / coding

";http://data.europa.eu/esco/skill/1072f444-8a7d-41c1-aa6f-d536f20d94bf;writing and composing
3;technical or academic writing;S1.13.3;"Writing original text of a primarily functional, technical or academic nature; editing text.
Examples:
- write manuals
- draft legislation
- provide user documentation

Excludes:
- revise translations
- write computer programmes / coding


";http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe;writing and composing
3;writing and composing;S1.13.0;"Writing text or composing music, creating original work with regard to format, style and content.
Excludes:
- General writing abilities/literacy
- Writing computer programmes/coding";http://data.europa.eu/esco/skill/afe3d82e-4a40-4aa4-a4e9-a6097c4a391e;writing and composing
3;composing music;S1.13.1;"Composing and arranging music.
Examples:
- compose music
- orchestrate music
- develop original melodies
- improvise music

Excludes:
- compose lyrics
";http://data.europa.eu/esco/skill/d12a1be6-d916-436d-8274-ad97b5f24415;writing and composing
2;negotiating;S1.1;"Exchanging ideas while analysing issues and interests at stake, enabling opposing sides to resolve disputes and reach agreement, or making decisions to resolve disputes or impose justice.
nan";http://data.europa.eu/esco/skill/323b3684-86ec-40fa-81b4-bc52694ef168;communication, collaboration and creativity
3;negotiating and managing contracts and agreements;S1.1.1;"Negotiating and managing contracts and agreements with others concerning matters such as prices, terms of service, employment conditions, access to land and facilities.
Examples include: 
- conclude business agreements
- manage contracts
- negotiate price";http://data.europa.eu/esco/skill/0d80a782-99ff-4f49-abbe-c72524c6f390;negotiating
3;negotiating;S1.1.0;"Exchanging ideas while analysing issues and interests at stake, enabling opposing sides to resolve disputes and reach agreement, or making decisions to resolve disputes or impose justice.
nan";http://data.europa.eu/esco/skill/0f804e14-001d-4ec0-b3f7-eb6a23ad43cb;negotiating
3;responding to complaints;S1.1.3;"Handling and responding to complaints from clients or staff.
Examples:
- handle customer complaints
- manage employee complaints";http://data.europa.eu/esco/skill/81f29457-6d0d-4f46-9e0a-7295c7c6f090;negotiating
3;mediating and resolving disputes;S1.1.2;"Working with two or more separate people or groups involved in a disagreement or dispute to bring about an agreement, settlement or compromise.
Excludes:
- making decisions

Examples include: 
- moderate in negotiations  
- handle financial disputes";http://data.europa.eu/esco/skill/9c17f73f-345c-4c55-8b59-47b445941b7b;negotiating
2;presenting information;S1.4;"Presenting oral or visual material to an audience in order to provide or interpret information.
nan";http://data.europa.eu/esco/skill/3f641516-9846-4a7f-a7f4-e1274eef6688;communication, collaboration and creativity
3;presenting research or technical information;S1.4.2;"Presenting information of a technical or academic nature to an audience, including presenting the results of research.
Examples:
- present legislation proposal
- present detailed design proposal
- perform lectures
- deliver visual presentation of data";http://data.europa.eu/esco/skill/8f9f8b20-ff26-4392-b04f-695dcde5b90a;presenting information
3;presenting information in legal proceedings;S1.4.3;"Testifying, presenting evidence or representing clients during legal proceedings.
Examples:
- Present evidence
- Represent clients in court";http://data.europa.eu/esco/skill/ad326fa7-f2e9-4421-8426-bc0c2e167143;presenting information
3;presenting general information;S1.4.1;"Presenting information of a non-technical nature to an audience.
Examples:
- give live presentation
- deliver presentations on tourism 
- present reports

Excludes:
- present information in legal proceedings
- present research or technical information
";http://data.europa.eu/esco/skill/cdb2aecd-9dca-48fd-8d56-f0aace3ab5a9;presenting information
3;presenting information;S1.4.0;"Presenting oral or visual material to an audience in order to provide or interpret information.
nan";http://data.europa.eu/esco/skill/de884168-32e7-4500-a227-3f0966f962b6;presenting information
2;working with others;S1.8;"Working with other people, understanding and respecting the roles and competencies of others.
Excludes:
- Management, supervision and coordination of teams";http://data.europa.eu/esco/skill/548c3fbe-9eb1-4035-bc54-027fd5bc5315;communication, collaboration and creativity
3;assisting and supporting co-workers;S1.8.6;"Assisting and supporting colleagues, managers, volunteers and other co-workers in the performance of their tasks or in the operations of a business unit.
Examples:
- support managers
- support colleagues
- assist forestry service crew
- assist emergency services";http://data.europa.eu/esco/skill/173fbafb-d2e0-4b89-be1c-548b1cc47160;working with others
3;giving feedback;S1.8.3;"Providing founded feedback on the performance of subordinates, co-workers and students through both criticism and praise in a respectful, clear, and consistent manner. Highlighting achievements as well as mistakes and set up methods of formative assessment.
Examples:
- provide feedback on job performance
- give constructive feedback";http://data.europa.eu/esco/skill/23cfb269-eec1-4011-8e57-c86203ce9fd7;working with others
3;following instructions and procedures;S1.8.5;"Following instructions given verbally or in writing and following standard or agreed procedures.
Examples:
- follow a brief
- follow signalling instructions
- read job ticket instructions";http://data.europa.eu/esco/skill/58bd927f-e4cc-4b61-a679-cb91b3f8075a;working with others
3;accepting feedback;S1.8.4;"React to valid and well-reasoned opinions and directions about one's work in a positive manner.
Examples:
- accept constructive criticism";http://data.europa.eu/esco/skill/8369011d-de43-4800-bcce-be12e19828a5;working with others
3;working with others;S1.8.0;"Working with other people, understanding and respecting the roles and competencies of others.
Excludes:
- Management, supervision and coordination of teams";http://data.europa.eu/esco/skill/91b0b918-942e-4661-b88c-70b9396529e5;working with others
3;giving instructions;S1.8.2;"Giving instructions and directions to co-workers, subordinates or students or members of the public by employing various communication techniques. Adjusting communication style to the target audience in order to convey instructions as intended.
Examples:
- give instructions to staff
- direct airport subcontractors

Excludes:
- direct and coordinate operational activities
";http://data.europa.eu/esco/skill/9a540c0f-81c0-4687-a14b-e9196d9af6c0;working with others
3;working in teams;S1.8.1;"Working confidently within a group with each doing their part in the service of the whole. Understanding and respecting the roles and competencies of other team members.
Examples:
- work in multidisciplinary teams 
- work in assembly line teams
- collaborate with designers
- cooperate with colleagues
- work in a forestry team
- work in shifts

Excludes:
- management, supervision and coordination of teams
";http://data.europa.eu/esco/skill/e4da156d-a6c4-4b29-935b-eff9c9553cf1;working with others
2;teaching and training;S1.3;"Facilitating the acquisition of new knowledge and skills. Leading and guiding individuals and groups through a process in which they are taught the necessary skills and knowledge for life, future learning or for a particular job or set of jobs.
Excludes:
- Training animals";http://data.europa.eu/esco/skill/5770f630-9b25-49f3-9d37-e93ec1799749;communication, collaboration and creativity
3;teaching academic or vocational subjects;S1.3.1;"Instruct students in the theory and practice of academic or vocational subjects.
Examples:
- give theory lessons to pilots
- teach biology
- teach basic numeracy skills
- teach industrial arts principles";http://data.europa.eu/esco/skill/335be43a-3267-400e-b5cb-c9e234dc7544;teaching and training
3;teaching safety procedures;S1.3.2;"Teaching safety procedures or standards to other people.
Examples:
- educate employees on occupational hazards
- provide on-board safety training
- train staff in safety procedures
- educate public on fire safety";http://data.europa.eu/esco/skill/3374fb57-056f-49e0-9fc5-000465e13794;teaching and training
3;training on operational procedures;S1.3.3;"Training employees, students or clients on operational procedures in the work place or and demonstrating the use of equipment or products.
Examples:
- teach air cabin crew procedures
- train operators in using mine machinery
- demonstrate functionality of software products

Excludes:
- teaching vocational subjects as part of formal learning
- teaching safety procedures and standards
- coaching
";http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488;teaching and training
3;teaching and training;S1.3.0;"Facilitating the acquisition of new knowledge and skills. Leading and guiding individuals and groups through a process in which they are taught the necessary skills and knowledge for life, future learning or for a particular job or set of jobs.
Examples:
- provide teacher support

Excludes:
- training animals";http://data.europa.eu/esco/skill/caede8f1-6658-4d78-9eb4-2ad2c7ebf09b;teaching and training
3;coaching and mentoring;S1.3.5;"Actively helping individuals or groups to improve their strengths, life skills, performance, learning skills and confidence and to optimise specific methods, skills or abilities.
Examples:
- Coach during a sports competition
- Assist clients with personal development
- Mentor individual employees";http://data.europa.eu/esco/skill/e2bdf081-333a-414f-b8ac-93c76290f167;teaching and training
3;training on health or medical topics;S1.3.4;"Training patients, health providers, or carers on health or hygiene practices, medical procedures or physcial fitness.
Examples:
- teach first aid principles
- train medical staff on nutrition
- educate patient's relations on care

Excludes:
- teaching medicine or nursing as part of a formal education programme
";http://data.europa.eu/esco/skill/ee2576c0-1af5-44b5-8c0c-2002541d1ccc;teaching and training
2;obtaining information verbally;S1.7;"Asking questions and listening to others to obtain information.
nan";http://data.europa.eu/esco/skill/6889a21c-837b-49a2-be61-bb6010ab63f4;communication, collaboration and creativity
3;interviewing;S1.7.1;"Interacting verbally in a formal way, usually using structured questioning, to collect information, determine opinions, or determine suitability of individuals for jobs, roles or tasks.
Examples:
- adhere to questionnaires
- interview insurance claimants
- interrogate individuals";http://data.europa.eu/esco/skill/07f47dea-587c-40c0-990a-6c092cc3e6a4;obtaining information verbally
3;obtaining information verbally;S1.7.0;"Asking questions and listening to others to obtain information.
nan";http://data.europa.eu/esco/skill/31397e38-43b9-43ba-943f-192b834e6b54;obtaining information verbally
3;engaging with others to identify needs;S1.7.2;"Engaging in discussions in order to identify expectations, requirements, desires, needs and problems of clients, co-workers, students and others.
Examples:
- identify customer objectives
- interact with users to gather requirements";http://data.europa.eu/esco/skill/d46193e0-be7d-4a90-91cc-4caba78e19d0;obtaining information verbally
3;listening and asking questions;S1.7.3;"Listen carefully to what other people say, patiently understanding points being made, formulating and asking appropriate questions, without interrupting at inappropriate times.
Examples:
- use questioning techniques
- listen actively";http://data.europa.eu/esco/skill/d7d2a468-587b-4a03-a305-e0a399ba69e6;obtaining information verbally
2;communication, collaboration and creativity;S1.0;"Communicating, collaborating, liaising, and negotiating with other people, developing solutions to problems, creating plans or specifications for the design of objects and systems, composing text or music, performing to entertain an audience, and imparting knowledge to others.
Excludes:
- Communication or interaction with animals";http://data.europa.eu/esco/skill/85b379e7-e0b7-48b8-baa7-631f50a7cdd5;communication, collaboration and creativity
3;communication, collaboration and creativity;S1.0.0;"Communicating, collaborating, liaising, and negotiating with other people, developing solutions to problems, creating plans or specifications for the design of objects and systems, composing text or music, performing to entertain an audience, and imparting knowledge to others.
Excludes:
- Communication or interaction with animals";http://data.europa.eu/esco/skill/ab877a24-335d-4676-b366-c5c06651481a;communication, collaboration and creativity
2;using more than one language;S1.15;"Using more than one language or dialect to communicate verbally or in written form, or to translate from one language to another.
Excludes:
- skills and knowledge related to a specific language or dialect.";http://data.europa.eu/esco/skill/8bbdf1f1-e943-45fc-af2f-1446cbd88245;communication, collaboration and creativity
3;using foreign languages;S1.15.1;"Communicating with others in one or more foreign languages or dialects, in spoken or written forms.
Examples:
- employ foreign languages in care
- communicate commercial and technical issues in foreign languages
- speak dialect

Excludes:
- skills and knowledge related to a specific language or dialect.

";http://data.europa.eu/esco/skill/03961960-e729-4768-ab0a-49886132f17a;using more than one language
3;using more than one language;S1.15.0;"Using more than one language or dialect to communicate verbally or in written form, or to translate from one language to another.
Excludes:
- Skills and knowledge related to a specific language or dialect.";http://data.europa.eu/esco/skill/0c92c33c-2859-4705-87ae-4fdd71d0f8f6;using more than one language
3;translating and interpreting;S1.15.2;"Translate one language into another language in written or spoken form. Match words and expressions with their corresponding brothers in other languages, while making sure that the message and nuances of the original text are preserved.
Examples:
- translate spoken language
- translate texts
- interpret languages in conferences

Excludes:
- skills and knowledge related to a specific language or dialect.
";http://data.europa.eu/esco/skill/64aeee4d-3791-4448-8ed8-9b49ad04f2fb;using more than one language
2;performing and entertaining;S1.14;"Undertaking activities to entertain an audience or improve personal abilities.
nan";http://data.europa.eu/esco/skill/ac88053e-c9b5-43cf-ace1-f506bcfdc8cb;communication, collaboration and creativity
3;performing artistic or cultural activities;S1.14.2;"Performing, practising or rehearsing music, dance, drama, ceremonies or other types of performance (excluding athletic performance) for a live audience, or as part of a recording session.
Examples:
- perform dance or music
- tell stories
- perform music in a recording studio 
- perform religious ceremonies
- rehearse performances

Excludes:
- participate in sports performances
- perform stunts

";http://data.europa.eu/esco/skill/395e42b8-f637-4e7e-96d8-9c1976c05d92;performing and entertaining
3;performing and entertaining;S1.14.0;"Undertaking activities to entertain an audience or improve personal abilities.
nan";http://data.europa.eu/esco/skill/3bf93195-5239-4f73-94a6-349be598d462;performing and entertaining
3;conducting gaming activities;S1.14.3;"Carrying out gaming operations in gambling establishments and participating in gambling games.
Examples:
- conduct gambling games";http://data.europa.eu/esco/skill/4781b6b1-07bc-44be-8c2d-de0fa5db4250;performing and entertaining
3;practising sports;S1.14.1;"Performing and practising athletic activities for fitness, competition, or artistic purposes.
Examples:
- participate in athletic events
- perform stunts
- participate in physical training";http://data.europa.eu/esco/skill/f4346da3-f6b2-4389-8a67-7c443b7e1609;performing and entertaining
2;liaising and networking;S1.2;"Developing alliances, contacts or partnerships, and exchanging information with others.
nan";http://data.europa.eu/esco/skill/b76cd1e5-d5e7-464a-b7bb-4164d3616452;communication, collaboration and creativity
3;advocating for individual or community needs;S1.2.4;"Delivering arguments in favour of something, such as a cause, idea, or policy, to benefit another person or a community.
Excludes:
- Promoting goods and services
- Representing clients in legal proceeding

Examples:
- Advocate for healthcare users' needs
- Promote service users' rights
- Influence legislators";http://data.europa.eu/esco/skill/0a4c5823-8b09-4e6b-95b4-8036ef3b9c4c;liaising and networking
3;liaising and networking;S1.2.0;"Developing alliances, contacts or partnerships, and exchanging information with others.
nan";http://data.europa.eu/esco/skill/848c0306-8cbe-4693-a275-d99807c0173c;liaising and networking
3;developing professional relationships or networks;S1.2.3;"Developing alliances, contacts or partnerships with colleagues, clients and stakeholders.
Examples: 
- develop communication networks with shipping sites
- develop professional network
- maintain relationship with suppliers";http://data.europa.eu/esco/skill/8a3b45dc-8299-4b67-99db-6542daf79ac3;liaising and networking
